,name,open,pre_close,price,high,low,bid,ask,volume,amount,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,date,time,code
0,????????,11.57,11.57,11.62,11.65,11.54,11.59,11.62,70990,823758,32,11.59,93,11.58,88,11.57,33,11.56,31,11.55,43,11.62,108,11.63,124,11.64,72,11.65,44,11.66,4/13/2017,9:39:52,601368
0,????????,11.57,11.57,11.6,11.65,11.54,11.59,11.6,79380,921124,36,11.59,23,11.58,73,11.57,33,11.56,74,11.55,48,11.6,5,11.61,66,11.62,115,11.63,124,11.64,4/13/2017,9:41:47,601368
0,????????,11.57,11.57,11.6,11.65,11.54,11.59,11.6,89369,1036979,13,11.59,83,11.58,73,11.57,33,11.56,74,11.55,9,11.6,24,11.61,55,11.62,108,11.63,124,11.64,4/13/2017,9:43:47,601368
0,????????,11.57,11.57,11.58,11.65,11.54,11.58,11.59,99090,1149720,79,11.58,73,11.57,33,11.56,74,11.55,43,11.54,3,11.59,90,11.6,22,11.61,55,11.62,108,11.63,4/13/2017,9:45:50,601368
0,????????,11.57,11.57,11.59,11.65,11.54,11.58,11.59,109990,1275973,11,11.58,121,11.57,36,11.56,74,11.55,46,11.54,88,11.59,63,11.6,22,11.61,75,11.62,108,11.63,4/13/2017,9:47:44,601368
0,????????,11.57,11.57,11.61,11.65,11.54,11.61,11.62,153420,1779531,102,11.61,38,11.6,7,11.58,105,11.57,39,11.56,135,11.62,108,11.63,53,11.64,121,11.65,61,11.66,4/13/2017,9:49:50,601368
0,????????,11.57,11.57,11.69,11.7,11.54,11.69,11.7,315487,3669812,70,11.69,12,11.68,17,11.67,74,11.66,39,11.62,21,11.7,83,11.71,130,11.72,148,11.73,468,11.74,4/13/2017,9:51:50,601368
0,????????,11.57,11.57,11.68,11.71,11.54,11.68,11.69,367075,4273185,11,11.68,28,11.67,74,11.66,69,11.62,49,11.61,94,11.69,277,11.7,299,11.71,277,11.72,221,11.73,4/13/2017,9:53:47,601368
0,????????,11.57,11.57,11.64,11.71,11.54,11.64,11.65,406708,4735154,36,11.64,137,11.63,163,11.62,55,11.61,69,11.6,468,11.65,64,11.68,96,11.69,319,11.7,405,11.71,4/13/2017,9:55:46,601368
0,????????,11.57,11.57,11.69,11.71,11.54,11.68,11.69,489529,5701322,35,11.68,10,11.67,206,11.66,592,11.65,152,11.64,29,11.69,385,11.7,332,11.71,219,11.72,225,11.73,4/13/2017,9:57:46,601368
0,????????,11.57,11.57,11.7,11.71,11.54,11.69,11.7,569203,6633298,76,11.69,51,11.68,52,11.67,154,11.66,587,11.65,265,11.7,235,11.71,219,11.72,260,11.73,152,11.74,4/13/2017,9:59:46,601368
0,????????,11.57,11.57,11.68,11.71,11.54,11.68,11.69,609904,7108778,8,11.68,76,11.67,139,11.66,576,11.65,29,11.64,120,11.69,223,11.7,185,11.71,229,11.72,271,11.73,4/13/2017,10:01:47,601368
0,????????,11.57,11.57,11.68,11.71,11.54,11.67,11.68,641316,7475885,64,11.67,144,11.66,576,11.65,29,11.64,24,11.63,22,11.68,68,11.69,328,11.7,180,11.71,247,11.72,4/13/2017,10:03:50,601368
0,????????,11.57,11.57,11.68,11.71,11.54,11.68,11.69,658691,7678798,440,11.68,13,11.67,140,11.66,93,11.65,29,11.64,83,11.69,243,11.7,176,11.71,247,11.72,270,11.73,4/13/2017,10:05:47,601368
0,????????,11.57,11.57,11.8,11.8,11.54,11.8,11.81,1023108,11960592,10,11.8,61,11.76,375,11.75,124,11.74,99,11.72,42,11.81,56,11.82,44,11.83,90,11.84,162,11.85,4/13/2017,10:07:47,601368
0,????????,11.57,11.57,11.94,11.98,11.54,11.92,11.95,1853957,21848441,179,11.92,108,11.91,86,11.9,55,11.89,2,11.88,110,11.95,241,11.96,358,11.97,285,11.98,351,11.99,4/13/2017,10:09:45,601368
0,????????,11.57,11.57,12.05,12.05,11.54,12,12.05,2530072,29932304,254,12,255,11.99,33,11.98,532,11.97,39,11.96,57,12.05,6,12.06,4,12.07,167,12.08,44,12.09,4/13/2017,10:11:48,601368
0,????????,11.57,11.57,11.94,12.07,11.54,11.94,11.95,2886751,34218442,36,11.94,216,11.93,194,11.92,127,11.91,48,11.9,94,11.95,123,11.96,154,11.97,249,11.98,709,11.99,4/13/2017,10:13:47,601368
0,????????,11.57,11.57,11.95,12.07,11.54,11.94,11.95,3011753,35713494,98,11.94,196,11.93,194,11.92,131,11.91,63,11.9,14,11.95,204,11.96,493,11.97,349,11.98,577,11.99,4/13/2017,10:15:46,601368
0,????????,11.57,11.57,11.89,12.07,11.54,11.89,11.9,3165304,37545164,38,11.89,158,11.88,220,11.87,153,11.86,122,11.85,218,11.9,86,11.91,30,11.92,231,11.93,370,11.94,4/13/2017,10:17:52,601368
0,????????,11.57,11.57,11.93,12.07,11.54,11.92,11.93,3278900,38899014,148,11.92,20,11.91,244,11.9,232,11.89,265,11.88,53,11.93,342,11.94,156,11.95,236,11.96,398,11.97,4/13/2017,10:19:46,601368
0,????????,11.57,11.57,11.9,12.07,11.54,11.9,11.92,3408800,40448529,159,11.9,81,11.89,221,11.88,211,11.87,94,11.86,134,11.92,196,11.93,225,11.94,201,11.95,265,11.96,4/13/2017,10:21:52,601368
0,????????,11.57,11.57,11.9,12.07,11.54,11.9,11.91,3480265,41299586,108,11.9,71,11.89,277,11.88,211,11.87,149,11.86,10,11.91,269,11.92,217,11.93,207,11.94,138,11.95,4/13/2017,10:23:47,601368
0,????????,11.57,11.57,11.9,12.07,11.54,11.89,11.9,3523846,41818289,135,11.89,258,11.88,210,11.87,259,11.86,172,11.85,98,11.9,14,11.91,245,11.92,254,11.93,209,11.94,4/13/2017,10:25:47,601368
0,????????,11.57,11.57,11.91,12.07,11.54,11.9,11.91,3582911,42520867,39,11.9,77,11.89,280,11.88,210,11.87,112,11.86,42,11.91,251,11.92,254,11.93,203,11.94,324,11.95,4/13/2017,10:27:47,601368
0,????????,11.57,11.57,11.91,12.07,11.54,11.9,11.91,3647011,43284456,66,11.9,145,11.89,366,11.88,230,11.87,112,11.86,33,11.91,163,11.92,302,11.93,226,11.94,317,11.95,4/13/2017,10:29:51,601368
0,????????,11.57,11.57,11.9,12.07,11.54,11.9,11.91,3672457,43587476,142,11.9,131,11.89,381,11.88,240,11.87,145,11.86,85,11.91,260,11.92,210,11.93,231,11.94,180,11.95,4/13/2017,10:31:54,601368
0,????????,11.57,11.57,11.89,12.07,11.54,11.89,11.9,3706283,43990057,196,11.89,349,11.88,240,11.87,95,11.86,162,11.85,202,11.9,372,11.91,260,11.92,190,11.93,208,11.94,4/13/2017,10:33:48,601368
0,????????,11.57,11.57,11.88,12.07,11.54,11.88,11.89,3785901,44936381,296,11.88,240,11.87,105,11.86,162,11.85,103,11.83,79,11.89,292,11.9,383,11.91,206,11.92,182,11.93,4/13/2017,10:35:48,601368
0,????????,11.57,11.57,11.88,12.07,11.54,11.88,11.89,3818663,45325720,197,11.88,240,11.87,102,11.86,162,11.85,103,11.83,379,11.89,268,11.9,455,11.91,191,11.92,127,11.93,4/13/2017,10:37:46,601368
0,????????,11.57,11.57,11.9,12.07,11.54,11.89,11.9,3976450,47200242,5,11.89,20,11.88,135,11.87,164,11.86,155,11.85,141,11.9,206,11.91,242,11.92,127,11.93,202,11.94,4/13/2017,10:46:47,601368
0,????????,11.57,11.57,11.89,12.07,11.54,11.89,11.9,3998750,47465555,7,11.89,202,11.88,144,11.87,164,11.86,162,11.85,196,11.9,205,11.91,259,11.92,168,11.93,201,11.94,4/13/2017,10:48:56,601368
0,????????,11.57,11.57,11.87,12.07,11.54,11.87,11.88,4024950,47776870,140,11.87,164,11.86,160,11.85,100,11.83,79,11.82,43,11.88,32,11.89,294,11.9,187,11.91,259,11.92,4/13/2017,10:50:54,601368
0,????????,11.57,11.57,11.88,12.07,11.54,11.88,11.89,4052150,48100132,29,11.88,115,11.87,164,11.86,160,11.85,100,11.83,479,11.89,276,11.9,187,11.91,259,11.92,172,11.93,4/13/2017,10:52:48,601368
0,????????,11.57,11.57,11.87,12.07,11.54,11.87,11.88,4062850,48227234,155,11.87,171,11.86,160,11.85,126,11.84,100,11.83,47,11.88,73,11.89,224,11.9,187,11.91,191,11.92,4/13/2017,10:54:45,601368
0,????????,11.57,11.57,11.87,12.07,11.54,11.86,11.87,4105750,48736229,3,11.86,172,11.85,126,11.84,110,11.83,106,11.82,337,11.87,163,11.88,164,11.89,234,11.9,185,11.91,4/13/2017,10:56:52,601368
0,????????,11.57,11.57,11.87,12.07,11.54,11.86,11.87,4143250,49181010,75,11.86,356,11.85,126,11.84,110,11.83,106,11.82,258,11.87,171,11.88,164,11.89,224,11.9,205,11.91,4/13/2017,10:58:46,601368
0,????????,11.57,11.57,11.88,12.07,11.54,11.87,11.88,4192450,49765090,40,11.87,362,11.86,351,11.85,126,11.84,100,11.83,48,11.88,159,11.89,241,11.9,205,11.91,186,11.92,4/13/2017,11:00:46,601368
0,????????,11.57,11.57,11.88,12.07,11.54,11.88,11.89,4234850,50268971,27,11.88,79,11.87,417,11.86,332,11.85,126,11.84,38,11.89,256,11.9,205,11.91,187,11.92,175,11.93,4/13/2017,11:02:47,601368
0,????????,11.57,11.57,11.87,12.07,11.54,11.87,11.88,4274550,50740282,47,11.87,121,11.86,332,11.85,126,11.84,100,11.83,67,11.88,100,11.89,256,11.9,205,11.91,208,11.92,4/13/2017,11:05:05,601368
0,????????,11.57,11.57,11.88,12.07,11.54,11.87,11.88,4282350,50832925,36,11.87,128,11.86,332,11.85,126,11.84,100,11.83,46,11.88,105,11.89,316,11.9,205,11.91,208,11.92,4/13/2017,11:06:41,601368
0,????????,11.57,11.57,11.87,12.07,11.54,11.87,11.88,4302850,51076183,7,11.87,71,11.86,333,11.85,126,11.84,100,11.83,98,11.88,107,11.89,316,11.9,205,11.91,246,11.92,4/13/2017,11:08:38,601368
0,????????,11.57,11.57,11.87,12.07,11.54,11.86,11.88,4314450,51213829,78,11.86,328,11.85,126,11.84,100,11.83,84,11.82,112,11.88,171,11.89,256,11.9,205,11.91,207,11.92,4/13/2017,11:10:45,601368
0,????????,11.57,11.57,11.86,12.07,11.54,11.86,11.87,4342750,51549625,9,11.86,328,11.85,126,11.84,100,11.83,84,11.82,233,11.87,141,11.88,161,11.89,261,11.9,205,11.91,4/13/2017,11:12:45,601368
0,????????,11.57,11.57,11.86,12.07,11.54,11.85,11.86,4362250,51780934,320,11.85,151,11.84,100,11.83,84,11.82,82,11.81,217,11.86,197,11.87,180,11.88,99,11.89,261,11.9,4/13/2017,11:14:45,601368
0,????????,11.57,11.57,11.85,12.07,11.54,11.85,11.86,4390250,52112860,358,11.85,151,11.84,100,11.83,84,11.82,82,11.81,35,11.86,187,11.87,180,11.88,118,11.89,261,11.9,4/13/2017,11:16:51,601368
0,????????,11.57,11.57,11.86,12.07,11.54,11.85,11.86,4420804,52474969,96,11.85,174,11.84,100,11.83,84,11.82,82,11.81,42,11.86,97,11.87,180,11.88,138,11.89,248,11.9,4/13/2017,11:18:37,601368
0,????????,11.57,11.57,11.85,12.07,11.54,11.84,11.85,4446850,52783726,144,11.84,100,11.83,84,11.82,82,11.81,378,11.8,577,11.85,121,11.86,221,11.87,126,11.88,128,11.89,4/13/2017,11:21:01,601368
0,????????,11.57,11.57,11.84,12.07,11.54,11.83,11.84,4485906,53246018,13,11.83,81,11.82,99,11.81,378,11.8,24,11.79,45,11.84,221,11.85,101,11.86,223,11.87,127,11.88,4/13/2017,11:22:47,601368
0,????????,11.57,11.57,11.84,12.07,11.54,11.83,11.85,4531400,53784215,241,11.83,66,11.82,157,11.81,399,11.8,24,11.79,201,11.85,101,11.86,223,11.87,127,11.88,132,11.89,4/13/2017,11:24:47,601368
0,????????,11.57,11.57,11.84,12.07,11.54,11.83,11.84,4538800,53871828,229,11.83,66,11.82,166,11.81,409,11.8,24,11.79,141,11.84,202,11.85,101,11.86,223,11.87,107,11.88,4/13/2017,11:26:47,601368
0,????????,11.57,11.57,11.84,12.07,11.54,11.84,11.85,4567637,54213193,11,11.84,158,11.83,86,11.82,186,11.81,399,11.8,201,11.85,50,11.86,223,11.87,104,11.88,132,11.89,4/13/2017,11:28:32,601368
