datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
2001-07-30,0.0,100000.0,0.0,100000.0,,,
2001-07-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-07-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-08-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-09-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-10-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-11-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
